battery_health,battery_cycles,screen_on_time,charging_frequency,fast_charging,charging_overnight,overheating,drop_history,water_damage,sensor_issues,battery_bulging,screen_cracked,buttons_not_working,ram_usage,storage_usage,age_months,overcharged,label
71,517,5,2,0,0,0,0,0,0,0,0,0,72,31,16,0,Needs Maintenance
59,570,3,1,1,1,0,0,0,0,0,0,1,55,59,9,1,Needs Maintenance
45,755,4,2,0,1,0,1,0,0,0,0,0,89,72,43,0,Needs Maintenance
46,820,3,2,1,0,0,1,0,0,0,0,0,53,67,24,0,Needs Maintenance
68,432,6,4,0,0,0,0,1,0,0,0,0,69,48,14,0,Needs Maintenance
57,679,4,2,1,1,0,0,0,0,0,0,1,53,53,25,1,Needs Maintenance
49,709,3,2,0,1,0,0,0,0,0,0,1,76,63,41,0,Critical
32,952,5,3,0,0,1,0,0,1,0,0,0,73,62,31,0,Critical
47,791,2,2,0,1,1,0,0,1,0,0,0,77,74,41,0,Critical
47,868,4,2,1,0,1,1,0,0,0,0,0,76,47,35,0,Needs Maintenance
60,664,3,1,1,1,0,0,0,0,0,0,0,49,77,34,1,Needs Maintenance
54,684,3,3,1,1,0,0,0,0,0,0,0,73,89,39,1,Needs Maintenance
64,500,4,2,1,0,0,0,0,0,0,0,0,75,49,15,0,Needs Maintenance
75,430,8,2,0,1,0,0,0,0,0,0,0,57,75,13,1,Needs Maintenance
79,278,6,3,0,1,0,0,0,1,0,0,0,76,71,7,1,Healthy
70,454,5,1,0,1,0,1,0,0,0,0,0,86,40,29,0,Needs Maintenance
65,563,5,3,0,0,0,0,0,0,0,0,0,77,30,8,0,Needs Maintenance
94,165,6,3,0,1,0,0,0,0,0,0,0,78,78,3,1,Healthy
52,710,5,3,0,1,0,0,1,0,0,0,0,73,70,3,0,Needs Maintenance
85,283,3,3,0,1,0,1,0,0,0,0,0,67,61,11,1,Healthy
42,884,6,3,0,1,1,0,0,0,0,0,0,61,32,58,1,Critical
88,187,6,3,1,0,0,0,0,0,0,0,0,53,71,9,0,Healthy
69,523,5,2,0,1,0,1,0,1,0,0,0,80,68,18,0,Needs Maintenance
54,753,6,4,0,0,0,0,0,0,0,1,0,77,83,38,0,Needs Maintenance
91,127,5,2,1,1,0,0,0,0,0,1,0,61,83,20,0,Healthy
48,733,4,2,1,1,0,1,0,0,0,0,0,77,62,37,0,Needs Maintenance
68,469,5,3,1,1,0,1,0,0,0,0,0,88,100,22,1,Needs Maintenance
51,731,4,1,0,0,0,0,0,0,0,0,0,62,42,40,0,Needs Maintenance
52,791,2,1,0,1,0,1,0,0,0,0,0,63,55,17,1,Needs Maintenance
54,721,7,3,0,1,0,0,0,0,0,0,0,68,52,45,0,Needs Maintenance
73,350,5,3,1,1,0,0,0,0,0,0,0,74,20,9,1,Needs Maintenance
42,940,3,2,0,0,1,0,0,1,0,0,0,74,84,42,0,Critical
58,697,5,1,0,1,0,0,1,0,0,0,0,55,61,24,0,Needs Maintenance
